work-id,section_num,page_url,section_title,section_url
,1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"CHAPTER II. Concerning the Subject of the Theology of Cases, Which Is the Conscience of Man",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#chapter-ii-concerning-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man
,1.1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,PRECEPTS.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#precepts
,1.2,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,RULES.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#rules
,1.2.1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"I. Conscience is a power of the practical intellect in a rational creature, determining concerning things done.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#i-conscience-is-a-power-of-the-practical-intellect-in-a-rational-creature-determining-concerning-things-done
,1.2.2,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"II. The natural state of conscience in every man is such that it is placed in a middle position between God and man, in such a way that it is below God and above man.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#ii-the-natural-state-of-conscience-in-every-man-is-such-that-it-is-placed-in-a-middle-position-between-god-and-man-in-such-a-way-that-it-is-below-god-and-above-man
,1.2.3,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"III. A good conscience is such either by creation, or by regeneration, that is, by re-creation.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#iii-a-good-conscience-is-such-either-by-creation-or-by-regeneration-that-is-by-re-creation
,1.2.4,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,IV. The evil conscience of man is either dead or awakened.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#iv-the-evil-conscience-of-man-is-either-dead-or-awakened
,1.2.5,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"DISSERTATION Concerning the Most Base of All Baseness, Which Is Sin.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#dissertationconcerning-the-most-base-of-all-baseness-which-is-sin
,1.2.5.1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"First, the baseness of sin consists in this: that its form is an aversion from God, who is the supreme Good, and a conversion to evil, which corrupt man regards under the appearance and guise of good.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#first-the-baseness-of-sin-consists-in-this-that-its-form-is-an-aversion-from-god-who-is-the-supreme-good-and-a-conversion-to-evil-which-corrupt-man-regards-under-the-appearance-and-guise-of-good
,1.2.5.2,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"Second, the effects of sin are of all things most base and most harmful.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#second-the-effects-of-sin-are-of-all-things-most-base-and-most-harmful
